Susana Martinez,0.01,2016-03-13.11:15:50
Ben Carson,0.01,2016-03-13.11:15:50
Mike Pence,0.01,2016-03-13.11:15:50
Carly Fiorina,0.01,2016-03-13.11:15:50
George Pataki,0.01,2016-03-13.11:15:50
Donald Trump,0.69,2016-03-13.12:44:38
Ted Cruz,0.17,2016-03-13.12:44:38
John Kasich,0.11,2016-03-13.12:44:38
Marco Rubio,0.04,2016-03-13.12:44:38
Mitt Romney,0.04,2016-03-13.12:44:38
Paul Ryan,0.04,2016-03-13.12:44:38
Jeb Bush,0.01,2016-03-13.12:44:38
Rand Paul,0.01,2016-03-13.12:44:38
Chris Christie,0.01,2016-03-13.12:44:38
Scott Walker,0.01,2016-03-13.12:44:38
Sarah Palin,0.01,2016-03-13.12:44:38
Lindsey Graham,0.01,2016-03-13.12:44:38
Mike Huckabee,0.01,2016-03-13.12:44:38
Bobby Jindal,0.01,2016-03-13.12:44:38
Rick Perry,0.01,2016-03-13.12:44:38
Rick Santorum,0.01,2016-03-13.12:44:38
Susana Martinez,0.01,2016-03-13.12:44:38
Ben Carson,0.01,2016-03-13.12:44:38
Mike Pence,0.01,2016-03-13.12:44:38
Carly Fiorina,0.01,2016-03-13.12:44:38
George Pataki,0.01,2016-03-13.12:44:38
Donald Trump,0.69,2016-03-13.13:55:58
Ted Cruz,0.17,2016-03-13.13:55:58
John Kasich,0.11,2016-03-13.13:55:58
Marco Rubio,0.04,2016-03-13.13:55:58
Mitt Romney,0.04,2016-03-13.13:55:58
Paul Ryan,0.04,2016-03-13.13:55:58
Jeb Bush,0.01,2016-03-13.13:55:58
Rand Paul,0.01,2016-03-13.13:55:58
Chris Christie,0.01,2016-03-13.13:55:58
Scott Walker,0.01,2016-03-13.13:55:58
Sarah Palin,0.01,2016-03-13.13:55:58
Lindsey Graham,0.01,2016-03-13.13:55:58
Mike Huckabee,0.01,2016-03-13.13:55:58
Bobby Jindal,0.01,2016-03-13.13:55:58
Rick Perry,0.01,2016-03-13.13:55:58
Rick Santorum,0.01,2016-03-13.13:55:58
Susana Martinez,0.01,2016-03-13.13:55:58
Ben Carson,0.01,2016-03-13.13:55:58
Mike Pence,0.01,2016-03-13.13:55:58
Carly Fiorina,0.01,2016-03-13.13:55:58
George Pataki,0.01,2016-03-13.13:55:58
Donald Trump,0.69,2016-03-13.14:05:53
Ted Cruz,0.17,2016-03-13.14:05:53
John Kasich,0.11,2016-03-13.14:05:53
Marco Rubio,0.04,2016-03-13.14:05:53
Mitt Romney,0.04,2016-03-13.14:05:53
Paul Ryan,0.04,2016-03-13.14:05:53
Jeb Bush,0.01,2016-03-13.14:05:53
Rand Paul,0.01,2016-03-13.14:05:53
Chris Christie,0.01,2016-03-13.14:05:53
Scott Walker,0.01,2016-03-13.14:05:53
Sarah Palin,0.01,2016-03-13.14:05:53
Lindsey Graham,0.01,2016-03-13.14:05:53
Mike Huckabee,0.01,2016-03-13.14:05:53
Bobby Jindal,0.01,2016-03-13.14:05:53
Rick Perry,0.01,2016-03-13.14:05:53
Rick Santorum,0.01,2016-03-13.14:05:53
Susana Martinez,0.01,2016-03-13.14:05:53
Ben Carson,0.01,2016-03-13.14:05:53
Mike Pence,0.01,2016-03-13.14:05:53
Carly Fiorina,0.01,2016-03-13.14:05:53
George Pataki,0.01,2016-03-13.14:05:53
Donald Trump,0.69,2016-03-13.15:18:40
Ted Cruz,0.17,2016-03-13.15:18:40
John Kasich,0.11,2016-03-13.15:18:40
Marco Rubio,0.04,2016-03-13.15:18:40
Mitt Romney,0.04,2016-03-13.15:18:40
Paul Ryan,0.04,2016-03-13.15:18:40
Jeb Bush,0.01,2016-03-13.15:18:40
Rand Paul,0.01,2016-03-13.15:18:40
Chris Christie,0.01,2016-03-13.15:18:40
Scott Walker,0.01,2016-03-13.15:18:40
Sarah Palin,0.01,2016-03-13.15:18:40
Lindsey Graham,0.01,2016-03-13.15:18:40
Mike Huckabee,0.01,2016-03-13.15:18:40
Bobby Jindal,0.01,2016-03-13.15:18:40
Rick Perry,0.01,2016-03-13.15:18:40
Rick Santorum,0.01,2016-03-13.15:18:40
Susana Martinez,0.01,2016-03-13.15:18:40
Ben Carson,0.01,2016-03-13.15:18:40
Mike Pence,0.01,2016-03-13.15:18:40
Carly Fiorina,0.01,2016-03-13.15:18:40
George Pataki,0.01,2016-03-13.15:18:40
Donald Trump,0.69,2016-03-13.16:10:53
Ted Cruz,0.17,2016-03-13.16:10:53
John Kasich,0.11,2016-03-13.16:10:53
Mitt Romney,0.04,2016-03-13.16:10:53
Marco Rubio,0.04,2016-03-13.16:10:53
Paul Ryan,0.04,2016-03-13.16:10:53
Jeb Bush,0.01,2016-03-13.16:10:53
Rand Paul,0.01,2016-03-13.16:10:53
Chris Christie,0.01,2016-03-13.16:10:53
Scott Walker,0.01,2016-03-13.16:10:53
Sarah Palin,0.01,2016-03-13.16:10:53
Lindsey Graham,0.01,2016-03-13.16:10:53
Mike Huckabee,0.01,2016-03-13.16:10:53
Bobby Jindal,0.01,2016-03-13.16:10:53
Rick Perry,0.01,2016-03-13.16:10:53
Rick Santorum,0.01,2016-03-13.16:10:53
Susana Martinez,0.01,2016-03-13.16:10:53
Ben Carson,0.01,2016-03-13.16:10:53
Mike Pence,0.01,2016-03-13.16:10:53
Carly Fiorina,0.01,2016-03-13.16:10:53
George Pataki,0.01,2016-03-13.16:10:53
